;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Rail lines density (total route in km per 100 square km of land area);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
278;Costa Rica;2019;123;104.5;82;46.7;87.5;0.22;20818.1;3.39;1882;12.4;40;99;97.8;80.5;30.3;;32;16
279;Costa Rica;2020;124;104.3;83.3;47.7;89.5;0.23;19824.3;3.39;1884;15.4;33;99;97.9;80.5;30.2;;33;15
280;Costa Rica;2021;124;;;;;0.23;21199.3;3.39;1886;;15;;;;;;;14
281;Costa Rica;2022;125;;;;;0.23;;3.39;1887;;;;;;;;;
282;Croatia;2017;124;113.8;88.7;51.3;-26;0.21;27207;2.03;1914;39.7;53;;96.5;;71.7;3;32;17
283;Croatia;2018;125;115.1;90.3;53;-26.9;0.21;28220;2.03;1913;37.8;51;;96.5;;70.4;3;31;17
284;Croatia;2019;126;117.2;92;55.3;-31.1;0.21;29347.5;2.03;1913;40;50;;96.6;;69.1;3;30;17
285;Croatia;2020;128;119.1;93.3;56;-44.8;0.22;26945.9;2.03;1911;36.8;34;;96.6;;67.8;3;30;17
286;Croatia;2021;130;;;;;0.21;31630.2;2.03;1911;;28;;;;;;;17
287;Croatia;2022;131;;;;;0.21;;2.03;1911;;;;;;;;;
288;Cuba;2017;140;69.8;85;31.7;;0.23;;3.31;1883;22.8;48;96.3;90.7;;37;;48;71
289;Cuba;2018;140;71.7;86.3;33;;0.23;;3.31;1883;22.4;61;96.5;90.9;;36.9;;47;77
290;Cuba;2019;140;73.2;85;33.7;;0.23;;3.31;1883;18.1;60;96.8;91.1;;36.8;;46;79
291;Cuba;2020;139;76.3;84;34.7;77.7;0.23;;3.31;1883;13;51;97;91.4;;36.6;;45;85
292;Cuba;2021;135;;;;;0.23;;3.31;1884;;21;;;;;;;101
293;Cuba;2022;131;;;;;0.23;;3.31;1883;;;;;;;;;
294;Cyprus;2017;117;114.5;92;46;96.1;0.18;38415.1;1.5;1945;11.4;52;99;99;99;77;;41;29
295;Cyprus;2018;117;115.9;91.7;46;99.6;0.18;40092.7;1.5;1946;13.9;34;99;99;99;77.1;;41;26
296;Cyprus;2019;118;119;93.7;48.7;98.1;0.18;41739.5;1.5;1944;11.3;25;99;99;99;77.1;;40;26
297;Cyprus;2020;119;120.8;95;50.7;98.4;0.18;39464.5;1.5;1943;7.6;31;99;99;99;77.1;;39;27
298;Cyprus;2021;119;;;;;0.18;41694.3;1.5;1942;;26;;;;;;;30
299;Cyprus;2022;119;;;;;0.18;;1.5;1942;;;;;;;;;
300;Czechia;2017;128;134.4;87;51;-78.4;0.2;38824.9;1.71;1939;37.6;71;99;99;97.9;83.6;11.9;30;4
301;Czechia;2018;130;141.4;86.7;51.7;-71.2;0.2;39941.3;1.71;1938;21.9;69;99;99;97.9;84.2;11.9;28;4
302;Czechia;2019;131;145.8;86.3;52.7;-55.1;0.2;40989.7;1.71;1937;23.2;59;99;99;97.9;84.7;11.9;27;4
303;Czechia;2020;132;149.6;87.7;54;-42;0.21;38640;1.71;1937;22.6;63;99;99;97.9;85.2;11.9;26;4
304;Czechia;2021;133;;;;;0.21;40741;1.71;1938;;18;;;;;;;4
305;Czechia;2022;134;;;;;0.21;;1.71;1939;;;;;;;;;
306;Côte d'Ivoire;2017;125;47.8;59.7;13.7;39.5;0.32;4750.9;1.71;1728;16.2;29;71;32.2;35;;0.2;72;11
307;Côte d'Ivoire;2018;126;47.3;60.4;14;41.4;0.32;4949.6;1.71;1731;15.8;27;71;33.1;35.1;;0.2;72;12
308;Côte d'Ivoire;2019;127;48.8;61.3;15;42.3;0.32;5126.6;1.71;1734;11.5;24;70.9;33.9;35.1;;0.2;72;12
309;Côte d'Ivoire;2020;129;50.2;62;15.3;45;0.32;5098.6;1.71;1736;12.8;7;70.9;34.6;35.2;;0.2;71;13
310;Côte d'Ivoire;2021;130;;;;;0.32;5325;1.71;1739;;10;;;;;;;12
311;Côte d'Ivoire;2022;131;;;;;0.33;;1.71;1742;;;;;;;;;
312;Democratic People's Republic of Korea;2017;86;36.2;55.3;10;18.8;0.26;;1.58;1860;4.4;12;94.5;83.2;66.6;;;68;25
313;Democratic People's Republic of Korea;2018;85;36;54.3;10;19;0.26;;1.58;1859;5.7;14;94.2;83.9;66.5;;;68;45
314;Democratic People's Republic of Korea;2019;85;37;54;10;17.9;0.26;;1.58;1858;5.9;23;93.8;84.6;66.3;;;68;106
315;Democratic People's Republic of Korea;2020;84;38.4;53.3;10;17.8;0.26;;1.58;1857;8.1;27;93.8;84.7;66.4;;;67;360
316;Democratic People's Republic of Korea;2021;84;;;;;0.26;;1.58;1856;;27;;;;;;;458
317;Democratic People's Republic of Korea;2022;83;;;;;0.26;;1.58;1855;;;;;;;;;
318;Democratic Republic of the Congo;2017;103;26;30.7;3;17.8;0.36;1023.5;3.31;1658;5.7;29;44;16.6;17.3;14.1;0.2;78;10
319;Democratic Republic of the Congo;2018;103;25.4;30.3;3;17.8;0.36;1048.2;3.31;1658;6.1;29;44.6;16.2;17.9;13.6;0.2;78;5
320;Democratic Republic of the Congo;2019;103;25.2;30.3;3;19.7;0.36;1059.9;3.31;1657;5.7;27;45.3;15.8;18.4;13.2;0.2;79;4
321;Democratic Republic of the Congo;2020;102;24.2;29.7;3;19.8;0.36;1044.1;3.31;1658;3;24;46;15.4;19;12.7;0.2;79;4
322;Democratic Republic of the Congo;2021;101;;;;;0.36;1073.6;3.31;1658;;26;;;;;;;4
323;Democratic Republic of the Congo;2022;99;;;;;0.36;;3.31;1659;;;;;;;;;
324;Denmark;2017;132;132.8;112.7;74;-17.5;0.2;55356.7;2.04;1950;23.5;13;99;99;96.7;91.4;;29;8
325;Denmark;2018;133;134.6;115.3;77;-13;0.2;56178.8;2.04;1950;27.5;12;99;99;96.7;91.7;;28;8
326;Denmark;2019;134;138.7;115;77.3;-9.3;0.2;56814;2.04;1951;67.4;19;99;99;96.7;91.9;;28;8
327;Denmark;2020;134;142.5;113.3;76.3;-8.4;0.21;55518.6;2.04;1950;65.8;21;99;99;96.7;91.9;;27;8
328;Denmark;2021;135;;;;;0.21;57962.7;2.04;1950;;13;;;;;;;8
329;Denmark;2022;135;;;;;0.21;;2.04;1949;;;;;;;;;
330;Djibouti;2017;105;63.4;69.7;15.3;100;0.3;4451.7;1.27;1836;10.7;47;75.9;64;;35.4;;55;61
331;Djibouti;2018;105;63.2;68.7;15;100;0.3;4589.4;1.27;1837;9.6;36;75.9;65.3;;36.2;;55;36
332;Djibouti;2019;106;62;68.3;14;98.8;0.3;4768.1;1.27;1841;9.1;24;76;66.6;;37;;55;28
333;Djibouti;2020;106;62;68.3;13;98.8;0.3;4753.9;1.27;1843;9.5;16;76;66.7;;37.1;;55;31
334;Djibouti;2021;108;;;;;0.3;4913.3;1.27;1845;;14;;;;;;;40
335;Djibouti;2022;109;;;;;0.3;;1.27;1846;;;;;;;;;
336;Dominica;2017;120;84.2;82;47;100;0.24;11511.6;3.77;1891;11.3;46;95.4;80.4;;;;33;172
337;Dominica;2018;119;81.5;81;46.3;100;0.24;11849.3;3.77;1888;9.5;45;;;;;;33;214
338;Dominica;2019;118;80.6;80.7;45.3;100;0.24;12395.4;3.77;1882;8.6;28;;;;;;33;236
339;Dominica;2020;117;81.4;79.7;44.3;100;0.24;10255.8;3.77;1879;8.6;24;;;;;;33;259
340;Dominica;2021;116;;;;;0.24;10878;3.77;1875;;18;;;;;;;244
341;Dominica;2022;117;;;;;0.24;;3.77;1872;;;;;;;;;
342;Dominican Republic;2017;121;100.9;62.3;31;66.1;0.24;16524.5;5.76;1847;10.9;26;96.5;85.8;;;;28;22
343;Dominican Republic;2018;123;101.8;64.7;32.3;66.1;0.26;17484.1;5.76;1848;5.2;27;96.5;86.3;;;;28;22
344;Dominican Republic;2019;126;101.2;66.7;33;65.8;0.26;18171.1;5.76;1848;5.9;26;96.6;86.7;;;;28;22
345;Dominican Republic;2020;128;100.4;68.3;33.3;65.8;0.29;16768.4;5.76;1850;6.7;21;96.7;87.2;;;;27;23
346;Dominican Republic;2021;129;;;;;0.28;18626.1;5.76;1852;;10;;;;;;;25
347;Dominican Republic;2022;130;;;;;0.28;;5.76;1853;;;;;;;;;
348;Ecuador;2017;112;97.3;63.3;31.7;30.2;0.24;11679.4;3.45;1783;20;55;94.3;88.7;66.2;41.8;;44;6
349;Ecuador;2018;111;96.5;62.3;30.7;34.2;0.25;11608.4;3.45;1787;21.5;49;94.7;89.7;66.4;41.8;;44;6
350;Ecuador;2019;110;96.3;62;30.3;36;0.25;11390.2;3.45;1790;20.8;54;95;90.6;66.6;41.7;;45;6
351;Ecuador;2020;110;94.2;62;30;34.7;0.27;10357;3.45;1793;18.3;47;95.4;91.5;66.8;41.6;;45;7
352;Ecuador;2021;110;;;;;0.27;10668.8;3.45;1796;;20;;;;;;;7
353;Ecuador;2022;111;;;;;0.27;;3.45;1798;;;;;;;;;
354;Egypt;2017;136;57.8;97.3;24;44.2;0.32;10435.9;2.22;1807;6.6;30;99;96.4;;64.6;;66;46
355;Egypt;2018;135;58.2;97;24.7;47.8;0.32;10783.8;2.22;1809;5;17;99;96.7;;65.5;;66;44
356;Egypt;2019;135;59.1;97;25.3;47;0.32;11180.7;2.22;1811;8.2;16;99;97;;66.3;;66;47
357;Egypt;2020;135;60.7;95.3;24.3;47.4;0.32;11380.8;2.22;1814;7.7;19;99;97.3;;67.1;;66;48
358;Egypt;2021;134;;;;;0.33;11566;2.22;1817;;32;;;;;;;45
359;Egypt;2022;133;;;;;0.34;;2.22;1821;;;;;;;;;
360;El Salvador;2017;117;61;75.3;26.7;46.2;0.26;8617.9;3.46;1775;5.9;14;97.2;82.9;;;;48;28
361;El Salvador;2018;119;62.1;75.3;26.3;47.8;0.26;8812.2;3.46;1777;5.5;26;97.6;82.8;;;;48;29
362;El Salvador;2019;121;63.9;76.3;26.3;51.4;0.26;9021.4;3.46;1780;5.6;34;97.8;82.7;;;;49;29
363;El Salvador;2020;121;64.7;79;27.3;53.5;0.27;8267.3;3.46;1783;6.6;43;97.9;82.4;;;;51;34
364;El Salvador;2021;121;;;;;0.26;9086;3.46;1786;;35;;;;;;;36
365;El Salvador;2022;121;;;;;0.28;;3.46;1788;;;;;;;;;
366;Equatorial Guinea;2017;;;;;;0.11;19617.8;3.02;1768;1.1;;64.7;66.3;;;;;5
367;Equatorial Guinea;2018;;;;;;0.11;17765;3.02;1771;1.1;;;;;;;;5
368;Equatorial Guinea;2019;;;;;;0.11;16240.4;3.02;1774;1.1;;;;;;;;5
369;Equatorial Guinea;2020;;;;;;0.11;15132.4;3.02;1778;1;;;;;;;;5
370;Equatorial Guinea;2021;;;;;;0.11;14637;3.02;1779;;;;;;;;;6
371;Equatorial Guinea;2022;;;;;;0.11;;3.02;1783;;;;;;;;;
372;Eritrea;2017;;;;;;0.26;;1.51;1726;1.4;;;;;;;;25
373;Eritrea;2018;;;;;;0.26;;1.51;1730;1.5;;;;;;;;25
374;Eritrea;2019;;;;;;0.26;;1.51;1736;1.5;;;;;;;;23
375;Eritrea;2020;;;;;;0.26;;1.51;1739;1.5;;;;;;;;22
376;Eritrea;2021;;;;;;0.26;;1.51;1744;;;;;;;;;24
377;Eritrea;2022;;;;;;0.26;;1.51;1749;;;;;;;;;
378;Estonia;2017;122;119.6;102;63.3;-341.8;0.21;33821.9;1.99;1946;58.5;39;99;99;95.8;93;2.3;29;9
379;Estonia;2018;123;121.3;102.7;63.7;-343.3;0.21;34979.9;1.99;1945;57.7;45;99;99;95.8;93;;29;9
380;Estonia;2019;125;128.3;103;65.3;-129.7;0.21;36153.4;1.99;1946;83.9;45;99;99;95.8;93.1;;27;8
381;Estonia;2020;127;133;103;67.7;-138.4;0.21;35883.3;1.99;1945;85.3;64;99;99;95.8;93.1;;25;8
382;Estonia;2021;127;;;;;0.21;38717.7;1.99;1946;;65;;;;;;;8
383;Estonia;2022;127;;;;;0.21;;1.99;1946;;;;;;;;;
384;Eswatini;2017;106;53.8;59;18.3;71.5;0.25;8213.9;1.48;1781;11.7;55;68.6;62.5;;;;56;14
385;Eswatini;2018;107;53.2;59.7;18;69.2;0.25;8343;1.48;1788;10.9;14;69.7;63.4;;;;57;15
386;Eswatini;2019;108;53.9;59.7;18;61.2;0.25;8501.3;1.48;1794;8.4;22;70.7;64.3;;;;56;15
387;Eswatini;2020;109;55.5;60.3;17.7;61.2;0.25;8290.4;1.48;1798;7.6;22;70.8;64.3;;;;57;16
388;Eswatini;2021;109;;;;;0.25;8856.8;1.48;1801;;21;;;;;;;16
389;Eswatini;2022;109;;;;;0.25;;1.48;1803;;;;;;;;;
390;Ethiopia;2017;111;30.1;72.7;6.3;8.3;0.29;1988;2.34;1730;2.2;19;45.1;8.1;11;6.1;0.1;75;64
391;Ethiopia;2018;111;29.3;72.3;6;8.3;0.31;2067.5;2.34;1733;2.1;14;46.6;8.4;11.5;6.3;0.1;75;68
392;Ethiopia;2019;111;29.2;72.3;6.3;7.1;0.33;2181.7;2.34;1735;3.4;28;48.1;8.6;12;6.5;;75;63
393;Ethiopia;2020;110;29.3;72.7;6.7;6.6;0.37;2253.2;2.34;1737;2.9;54;49.6;8.9;12.6;6.7;;75;69
394;Ethiopia;2021;110;;;;;0.37;2319.1;2.34;1739;;50;;;;;;;81
395;Ethiopia;2022;112;;;;;0.36;;2.34;1741;;;;;;;;;
396;Fiji;2017;111;72.3;71.3;28.3;100;0.24;12822;1.17;1829;29.6;29;94.3;98.4;;;;51;33
397;Fiji;2018;112;75.4;73;31.3;100;0.24;13311.2;1.17;1830;27.9;24;94.3;98.8;;;;50;35
398;Fiji;2019;115;78.5;75;33.3;100;0.24;13241.4;1.17;1833;29.9;32;94.3;99;;;;49;34
399;Fiji;2020;117;79.1;76.7;34;89.2;0.24;10966.9;1.17;1835;31;49;94.3;99;;;;50;35
400;Fiji;2021;119;;;;;0.28;10359.2;1.17;1835;;54;;;;;;;37
401;Fiji;2022;120;;;;;0.28;;1.17;1836;;;;;;;;;
402;Finland;2017;128;140.3;117.7;74.3;-23.5;0.2;47570.1;2.2;1951;15.9;20;99;99;99;84.1;1.8;32;7
403;Finland;2018;129;140.4;117.7;74.3;-16.9;0.2;48048.5;2.2;1952;4.7;11;99;99;99;84.1;1.8;32;6
404;Finland;2019;130;137.3;118.3;74.3;-11.8;0.2;48583.4;2.2;1954;15;13;99;99;99;84.1;1.7;32;6
405;Finland;2020;131;137.3;118;74.3;-12.9;0.2;47443.9;2.2;1956;20;16;99;99;99;84.1;1.7;32;6
406;Finland;2021;132;;;;;0.21;48753.4;2.2;1957;;14;;;;;;;6
407;Finland;2022;132;;;;;0.21;;2.2;1959;;;;;;;;;
408;France;2017;145;149.1;108.7;63.3;-115;0.2;44577.1;2.04;1914;30.6;78;99;98.7;99;78.6;5.3;34;9
409;France;2018;145;149.6;108.7;63.7;-116.7;0.2;45246;2.04;1914;32.3;67;99;98.6;99;78.6;5.1;34;9
410;France;2019;143;150.8;112;67.7;-69.5;0.2;45922.8;2.04;1915;27.5;50;99;98.6;99;78.6;5.1;33;9
411;France;2020;141;151.9;115.3;71.3;-104.4;0.2;42233.1;2.04;1915;25.1;56;99;98.6;99;78.6;5.1;33;9
412;France;2021;141;;;;;0.2;44993.1;2.04;1916;;65;;;;;;;9
413;France;2022;142;;;;;0.21;;2.04;1917;;;;;;;;;
414;French Polynesia;2017;115;125.1;96;62.3;100;0.23;;2.38;1880;3.9;24;99;97.1;86.2;;;36;237
415;French Polynesia;2018;114;123.3;95.3;62;100;0.23;;2.38;1880;4;29;99;97.1;85.4;;;37;235
416;French Polynesia;2019;114;122.4;95.7;62;99.3;0.23;;2.38;1879;2.8;25;99;97;84.6;;;38;265
417;French Polynesia;2020;115;122.3;96;62.7;;0.23;;2.38;1878;0.5;28;99;97;83.9;;;37;298
418;French Polynesia;2021;116;;;;;0.23;;2.38;1877;;31;;;;;;;333
419;French Polynesia;2022;117;;;;;0.23;;2.38;1876;;;;;;;;;
420;Gabon;2017;112;54.5;82.6;40.3;89.1;0.32;14478.1;2.5;1778;2.5;15;84.5;49.2;;;0.3;52;10
421;Gabon;2018;111;53.9;81;39.3;90.7;0.32;14254.5;2.5;1779;1.8;26;84.9;49.5;;;0.3;52;9
422;Gabon;2019;110;54.5;79.7;38.3;92.4;0.33;14478;2.5;1781;1.7;26;85.2;49.8;;;0.2;52;8
423;Gabon;2020;109;54.6;79.7;38.7;91.2;0.35;13903.3;2.5;1783;1.2;27;85.3;49.8;;;0.2;52;8
424;Gabon;2021;108;;;;;0.33;13813.7;2.5;1785;;17;;;;;;;8
425;Gabon;2022;108;;;;;0.35;;2.5;1788;;;;;;;;;
426;Gambia;2017;108;62.1;64.7;17.3;59.5;0.28;1927;1.72;1742;5.4;35;79.9;46.5;41.6;30.8;;61;155
427;Gambia;2018;107;61.2;63.6;17.3;65.3;0.28;2012.6;1.72;1747;5.4;22;80.3;46.6;42.8;30.2;;60;151
428;Gambia;2019;106;59.8;62.6;18;73.2;0.28;2083.3;1.72;1751;8.2;28;80.6;46.7;44;29.6;;58;138
429;Gambia;2020;106;57;61.7;18;71.7;0.3;2042.6;1.72;1756;8.2;25;80.9;46.9;44.7;29;;58;158
430;Gambia;2021;107;;;;;0.3;2076.6;1.72;1760;;34;;;;;;;209
431;Gambia;2022;106;;;;;0.3;;1.72;1765;;;;;;;;;
432;Georgia;2017;126;70.6;78.7;29.7;64.7;0.25;13589.7;2.05;1889;25.5;41;97;86.3;65.7;35.8;1.8;54;38
433;Georgia;2018;127;72.1;78.7;30.3;65.4;0.25;14253.4;2.05;1887;28.8;47;97.1;86.1;65.9;35;1.8;53;34
434;Georgia;2019;130;75.2;80.7;32;67.1;0.25;14989.3;2.05;1885;19.5;51;97.2;85.9;66.1;34.7;2;53;30
435;Georgia;2020;132;77.1;82.7;33;63.2;0.29;13966.3;2.05;1885;18.5;66;97.3;85.8;66.4;34.4;2;52;29
436;Georgia;2021;133;;;;;0.26;15486.7;2.05;1886;;62;;;;;;;27
437;Georgia;2022;134;;;;;0.25;;2.05;1886;;;;;;;;;
438;Germany;2017;141;145;104.3;62.7;-12.1;0.2;53071.5;1.84;1949;16.5;13;99;99;99;97;9.4;28;5
439;Germany;2018;141;147.5;104.3;63;-6.7;0.2;53431.4;1.84;1946;15.3;12;99;99;99;97.1;9.4;28;5
440;Germany;2019;142;154;104.7;64;-1;0.2;53874.3;1.84;1944;24.1;13;99;99;99;97.1;9.3;27;5
441;Germany;2020;143;160.2;105;65.7;-0.3;0.2;51840.3;1.84;1942;16.2;15;99;99;99;97.1;9.3;26;5
442;Germany;2021;145;;;;;0.21;53179.7;1.84;1940;;25;;;;;;;5
443;Germany;2022;146;;;;;0.21;;1.84;1938;;;;;;;;;
444;Ghana;2017;124;39.9;59.3;14.3;34.5;0.29;4929.6;2.63;1772;9.3;78;82.4;20.9;36.3;11.9;;66;15
445;Ghana;2018;126;40.1;60;14.7;34.7;0.3;5125.2;2.63;1775;8;60;83.5;21.8;38;12.4;;66;13
446;Ghana;2019;129;40.8;61.7;15;36.3;0.29;5345.9;2.63;1778;8.6;57;84.7;22.8;39.7;12.9;;66;12
447;Ghana;2020;132;42.1;63.4;15.3;36.2;0.29;5263.5;2.63;1781;8.3;73;85.8;23.7;41.4;13.3;;66;14
448;Ghana;2021;133;;;;;0.29;5435.2;2.63;1784;;80;;;;;;;16
449;Ghana;2022;135;;;;;0.3;;2.63;1787;;;;;;;;;
450;Greece;2017;134;148.2;105.3;57;25.3;0.21;28604.9;2.09;1931;40.8;57;99;99;99;89.4;1.7;32;19
451;Greece;2018;134;150;106.3;59;28.7;0.21;29141.2;2.09;1931;38.5;52;99;99;99;90.2;1.7;31;18
452;Greece;2019;135;154.7;106.7;61.3;33.1;0.21;29721.6;2.09;1931;23.8;28;99;99;99;90.9;1.7;29;17
453;Greece;2020;135;156.9;105.7;62.3;32.4;0.21;27103.5;2.09;1931;17.6;31;99;99;99;91.7;1.8;28;16
454;Greece;2021;135;;;;;0.21;29548;2.09;1931;;31;;;;;;;16
455;Greece;2022;136;;;;;0.21;;2.09;1932;;;;;;;;;
456;Greenland;2017;;;;;;;;3.02;;;;99;99;96.7;91.4;;;
457;Greenland;2018;;;;;;;;3.02;;;;99;99;96.7;91.7;;;
458;Greenland;2019;;;;;;;;3.02;;;;99;99;96.7;91.9;;;
459;Greenland;2020;;;;;;;;3.02;;;;99;99;96.7;91.9;;;
460;Greenland;2021;;;;;;;;3.02;;;;;;;;;;
461;Greenland;2022;;;;;;;;3.02;;;;;;;;;;
462;Grenada;2017;;79.7;71.3;40.3;96.8;0.28;14870;3.6;1915;17.5;;95.6;91.5;87.1;;;29;261
463;Grenada;2018;;80.9;72.3;42.3;100;0.28;15401.7;3.6;1913;14.7;;;;;;;30;296
464;Grenada;2019;;84;73.3;45.3;100;0.28;15393.8;3.6;1913;12.2;;;;;;;29;311
465;Grenada;2020;;89.1;74.3;47.7;100;0.28;13175.4;3.6;1911;17.9;;;;;;;26;338
466;Grenada;2021;;;;;;0.26;13688.3;3.6;1909;;;;;;;;;327
467;Grenada;2022;;;;;;0.26;;3.6;1908;;;;;;;;;
468;Guatemala;2017;118;63.1;69.7;21.7;46.9;0.33;8322.2;3.12;1703;19.9;22;92.9;67.2;55;;;49;20
469;Guatemala;2018;118;63.2;69.3;21.3;47.8;0.33;8469.1;3.12;1707;16;14;93.2;67.4;55.3;;;49;21
470;Guatemala;2019;119;60.7;68.7;21.7;51.5;0.33;8671.7;3.12;1711;12.7;18;93.6;67.7;55.6;;;50;22
471;Guatemala;2020;120;61.1;68.3;22.7;52.9;0.35;8390.2;3.12;1715;15.7;16;94;67.9;55.8;;;49;23
472;Guatemala;2021;123;;;;;0.35;8926.7;3.12;1720;;28;;;;;;;25
473;Guatemala;2022;124;;;;;0.35;;3.12;1725;;;;;;;;;
474;Guinea;2017;121;67.7;56;10.7;26.3;0.33;2383.6;3.72;1722;2.6;21;63.8;26;;;;62;28
475;Guinea;2018;123;66.8;56.7;11;27.8;0.34;2471.7;3.72;1720;2.4;15;63.9;27.2;;;;63;26
476;Guinea;2019;125;68.7;57;11.3;26.4;0.34;2545.1;3.72;1723;2.1;20;63.9;28.5;;;;63;21
477;Guinea;2020;127;68.8;57.3;11.3;25.5;0.37;2604.1;3.72;1726;2.1;31;64;29.8;;;;63;16
478;Guinea;2021;129;;;;;0.37;2640.3;3.72;1730;;35;;;;;;;13
479;Guinea;2022;129;;;;;0.37;;3.72;1733;;;;;;;;;
480;Guinea-Bissau;2017;93;62.2;42.7;9;;0.28;1872.3;1.42;1733;8.8;25;58.9;15.9;23.3;10.6;;64;46
481;Guinea-Bissau;2018;93;61.6;43;9;;0.28;1851.9;1.42;1733;7;44;59;16.7;23.7;11.1;;65;45
482;Guinea-Bissau;2019;94;60.6;43.3;9;;0.31;1890.5;1.42;1738;2.9;51;59;17.5;24;11.6;;65;49
483;Guinea-Bissau;2020;93;58.7;43.7;8.7;;0.37;1803.6;1.42;1743;2.3;39;59;18.2;24.3;12.2;;66;57
484;Guinea-Bissau;2021;94;;;;;0.37;1831.4;1.42;1748;;22;;;;;;;62
485;Guinea-Bissau;2022;94;;;;;0.35;;1.42;1752;;;;;;;;;
486;Guyana;2017;131;56.9;90.3;37.3;-51.1;0.25;12193.6;3.82;1792;64;96;95.5;85.8;;;;45;17
487;Guyana;2018;131;58.3;89.7;36;-46.3;0.25;12374.2;3.82;1798;54.9;92;95.5;85.8;;;;44;17
488;Guyana;2019;131;62.6;90;36.3;-51.2;0.25;12820.5;3.82;1801;54.9;67;95.5;85.8;;;;42;16
489;Guyana;2020;130;65.7;90.3;36.7;16.1;0.25;18430.6;3.82;1795;54;113;95.6;85.8;;;;40;13
490;Guyana;2021;135;;;;;0.25;21925.2;3.82;1794;;136;;;;;;;10
491;Guyana;2022;142;;;;;0.25;;3.82;1795;;;;;;;;;
492;Haiti;2017;94;47.5;49.3;10;65.2;0.37;3187.8;3.14;1812;3.9;30;65.5;34.7;;;;54;134
493;Haiti;2018;92;47.5;49;10;71.8;0.37;3197.1;3.14;1814;5;25;65.9;35.8;;;;54;129
494;Haiti;2019;91;45.3;47.6;10;76.6;0.37;3101.6;3.14;1816;6.4;31;66.3;36.9;;;;54;122
495;Haiti;2020;90;43.2;46;10;82.5;0.37;2959.1;3.14;1818;7.1;28;66.7;37.1;;;;55;133
496;Haiti;2021;90;;;;;0.29;2870.1;3.14;1820;;13;;;;;;;142
497;Haiti;2022;88;;;;;0.31;;3.14;1822;;;;;;;;;
498;Honduras;2017;114;83.9;60.3;20;58.1;0.3;5447.7;2.63;1773;10;46;94.2;80.9;;48.6;;45;16
499;Honduras;2018;114;84.6;61.3;20.3;57.6;0.3;5561.3;2.63;1777;9;31;94.7;81.9;;48.9;;45;16
500;Honduras;2019;115;86.3;61.7;20.7;59.4;0.3;5613.7;2.63;1780;11;10;95.2;82.8;;49.3;;44;16
501;Honduras;2020;115;87.9;61.7;21;60.2;0.31;5028.1;2.63;1783;7.9;10;95.7;83.8;;49.7;;44;17
502;Honduras;2021;115;;;;;0.37;5572.2;2.63;1786;;8;;;;;;;18
503;Honduras;2022;115;;;;;0.39;;2.63;1788;;;;;;;;;
504;Hungary;2017;127;149.8;86.7;48.3;-100.3;0.21;29501.1;1.5;1935;89.5;79;99;98;92.5;86.9;8.3;29;4
505;Hungary;2018;128;153.1;88;49.7;-82.1;0.21;31122.5;1.5;1935;52.8;75;99;98;92.6;87.7;8.2;29;4
506;Hungary;2019;130;152.8;89;50.3;-86;0.21;32649.1;1.5;1935;30.7;62;99;98;92.6;87.8;8.2;29;4
507;Hungary;2020;130;152.5;88.7;50.7;-90.5;0.21;31231.6;1.5;1935;32.3;28;99;98;92.6;87.8;8.2;29;4
508;Hungary;2021;131;;;;;0.22;33593.2;1.5;1935;;33;;;;;;;4
509;Hungary;2022;130;;;;;0.22;;1.5;1937;;;;;;;;;
510;Iceland;2017;136;165.5;141.4;102;91.3;0.2;55638.5;2.31;1953;14.6;60;99;98.8;99;78.8;;24;9
511;Iceland;2018;135;166.4;143;103;88.9;0.2;56816.4;2.31;1958;18.8;60;99;98.8;99;81.2;;24;9
512;Iceland;2019;134;170.4;144.3;104.7;85.9;0.2;56923.2;2.31;1960;14.4;40;99;98.8;99;83.7;;24;10
513;Iceland;2020;133;172.7;143.3;104;83.4;0.2;52174.6;2.31;1960;10.8;16;99;98.8;99;83.7;;23;10
514;Iceland;2021;130;;;;;0.2;53586.2;2.31;1960;;28;;;;;;;10
515;Iceland;2022;129;;;;;0.2;;2.31;1961;;;;;;;;;
516;India;2017;108;55.5;63;13.7;-5.6;0.25;6112.1;3.17;1788;7;18;89.1;62.5;;39.9;2;57;8
517;India;2018;109;57.3;64;14.3;-5.3;0.25;6436.2;3.17;1791;6.5;21;89.6;65.4;;41.9;2.1;56;7
518;India;2019;110;59.2;65;15;-5.2;0.26;6608.6;3.17;1794;5.9;21;90;68.3;;43.9;2.1;55;6
