;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Rail lines density (total route in km per 100 square km of land area);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
97;Belarus;2018;132;131.2;89;49;3.2;0.21;18974.7;2.49;1887;22.4;36;96.5;97.9;94.6;74.4;2.6;36;11
98;Belarus;2019;133;133;93;52.7;9.3;0.2;19279.2;2.49;1888;24.1;33;96.5;97.9;94.6;74.1;2.6;36;10
99;Belarus;2020;134;132.6;97.7;57;9.4;0.2;19225.6;2.49;1888;21.3;18;96.5;97.9;94.6;73.9;2.6;36;10
100;Belarus;2021;134;;;;;0.2;19751.2;2.49;1890;;25;;;;;;;9
101;Belarus;2022;135;;;;;0.2;;2.49;1890;;;;;;;;;
102;Belgium;2017;149;166.2;98.3;57.7;65.2;0.2;50442.3;1.82;1947;29.9;34;99;99;99;86.2;11.8;28;7
103;Belgium;2018;149;165.2;98.3;57.7;68.2;0.2;51113.5;1.82;1947;22.7;33;99;99;99;87.1;11.8;28;7
104;Belgium;2019;151;169.1;99.7;58.7;65.5;0.2;51977.2;1.82;1947;25.4;31;99;99;99;87.9;11.8;27;7
105;Belgium;2020;152;173.4;101.7;61;65.1;0.2;48978.9;1.82;1948;20.7;35;99;99;99;88.8;11.8;26;7
106;Belgium;2021;152;;;;;0.2;51739.5;1.82;1949;;31;;;;;;;7
107;Belgium;2022;152;;;;;0.21;;1.82;1949;;;;;;;;;
108;Belize;2017;120;74.5;68;25.7;17.5;0.25;8873.8;3.34;1765;25.6;39;98;87.9;;;;40;26
109;Belize;2018;121;80;69;27.4;16.7;0.25;8798.5;3.34;1769;21.4;24;98.4;88.2;;;;39;28
110;Belize;2019;123;89.9;69.4;30.1;18.3;0.25;9028.6;3.34;1772;21.7;26;98.4;88.2;;;;38;29
111;Belize;2020;125;96.1;71.3;32;21.4;0.25;7703.1;3.34;1777;23.5;40;98.4;88.2;;;;37;30
112;Belize;2021;125;;;;;0.25;8762.6;3.34;1783;;41;;;;;;;32
113;Belize;2022;124;;;;;0.25;;3.34;1787;;;;;;;;;
114;Benin;2017;121;51.5;65.6;14.6;51.8;0.29;2933.8;1.72;1717;15.5;17;65.1;15.6;;;;68;68
115;Benin;2018;120;51.3;64.3;13.3;49.3;0.3;3040.2;1.72;1718;16.5;21;65.2;16.1;;;;68;68
116;Benin;2019;121;52.9;64.7;12.3;46.3;0.32;3156.4;1.72;1719;13.4;27;65.3;16.5;;;;68;52
117;Benin;2020;122;56.2;65.4;11.7;42.2;0.32;3186.5;1.72;1721;7.7;18;65.4;17;;;;67;39
118;Benin;2021;124;;;;;0.32;3321.6;1.72;1722;;26;;;;;;;30
119;Benin;2022;126;;;;;0.33;;1.72;1724;;;;;;;;;
120;Bermuda;2017;;;;;;0.24;81835;3.02;1907;;;99;99;;;;;
121;Bermuda;2018;;;;;;0.24;81423.4;3.02;1908;;;99;99;;;;;
122;Bermuda;2019;;;;;;0.24;81681.7;3.02;1910;;;99;99;;;;;
123;Bermuda;2020;;;;;;0.24;76117.8;3.02;1911;;;99;99;;;;;
124;Bermuda;2021;;;;;;0.24;80271.1;3.02;1909;;;;;;;;;
125;Bermuda;2022;;;;;;0.24;;3.02;1909;;;;;;;;;
126;Bhutan;2017;;;;;;0.21;10986.9;3.02;1815;15.7;;97.2;72.6;36.2;63.5;;;22
127;Bhutan;2018;;;;;;0.21;11233.8;3.02;1821;19;;97.3;73.9;36.3;64;;;23
128;Bhutan;2019;;;29.5;10.4;;0.21;11797.3;3.02;1828;18.4;;97.3;75.2;36.5;64.6;;;24
129;Bhutan;2020;;;59.5;20.7;;0.21;10547.1;3.02;1833;16.7;;97.3;76.5;36.6;65.2;;;24
130;Bhutan;2021;;;;;;0.21;10907.9;3.02;1836;;;;;;;;;24
131;Bhutan;2022;;;;;;0.21;;3.02;1840;;;;;;;;;
132;Bolivia (Plurinational State of);2017;104;64;73.3;35;18.1;0.24;8244.9;2.25;1756;6.5;25;91.7;60.2;;48.5;;49;8
133;Bolivia (Plurinational State of);2018;105;64.6;73.7;35;20;0.24;8466.3;2.25;1758;12.8;27;92.3;62.1;;49.9;;49;8
134;Bolivia (Plurinational State of);2019;106;65.8;74.7;35.3;18.9;0.24;8528.7;2.25;1760;13.1;30;92.8;63.9;;51.4;;48;8
135;Bolivia (Plurinational State of);2020;106;65.3;75;34.7;17.1;0.24;7679.9;2.25;1763;13.4;20;93.4;65.8;;52.9;;49;8
