;Area Code;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
978;273;Montenegro;2020;141;140,9;112,7;68;87,7;0,22;18259;2,58;1896;12,8;24;98,9;97,8;85,1;45,4;33;120
979;273;Montenegro;2021;144;;;;;0,23;20598,8;2,58;1898;;39;;;;;;119
980;276;Sudan;2017;119;65,2;73,7;20,7;29,3;0,27;4614;4,04;1721;23,3;37;60,3;36,6;;;53;72
981;276;Sudan;2018;118;66,2;74;20,3;22,8;0,27;4349,2;4,04;1722;24,7;63;60,3;36,7;;;54;79
982;276;Sudan;2019;117;66,9;74,7;19,7;25,9;0,28;4133,1;4,04;1723;25,6;58;60,4;36,8;;;54;58
983;276;Sudan;2020;118;70,1;74,7;19,3;33,5;0,28;3874,8;4,04;1724;20,9;42;60,4;36,9;;;53;62
984;276;Sudan;2021;118;;;;;0,29;3701,1;4,04;1726;;30;;;;;;55
985;277;South Sudan;2017;;;;;;0,3;;3,02;1691;3,8;;41,1;13,2;;;;16
986;277;South Sudan;2018;;;;;;0,3;;3,02;1690;3,5;;41;14,5;;;;22
987;277;South Sudan;2019;35;;21,2;9,6;;0,29;;3,02;1699;2,2;;40,8;15,7;;;;23
988;277;South Sudan;2020;72;;42,8;18,7;;0,29;;3,02;1711;3,5;;41;15,8;;;;28
989;277;South Sudan;2021;107;;;;;0,29;;3,02;1721;;;;;;;;40
990;299;Palestine;2017;;;;;;;6401,7;3,02;1719;10,6;;97;97,2;78,7;62,1;;47
991;299;Palestine;2018;;;;;;;6318,2;3,02;1721;10,1;;97,3;97,6;79;63,6;;48
992;299;Palestine;2019;;;;;;;6245,4;3,02;1724;10;;97,6;98,1;79,4;65,1;;47
993;299;Palestine;2020;;;;;;;5402,5;3,02;1727;16,6;;97,9;98,6;79,7;66,7;;45
994;299;Palestine;2021;;;;;;;5643,1;3,02;1731;;;;;;;;37
995;351;China;2017;131;100,7;102,5;40;4,7;;14532,4;;1875;5,1;13;;;;;51;4
996;351;China;2018;132;102,1;103,5;40,3;4,2;;15426,8;;1874;6;13;;;;;51;4
997;351;China;2019;132;102,4;104,5;40,7;3,8;;16256;;1876;6,9;14;;;;;51;4
998;351;China;2020;133;103,2;105,1;41,1;4,3;;16522,3;;1880;8,6;19;;;;;51;5
999;351;China;2021;135;;;;;;17846,7;;1885;;16;;;;;;5
